iD_EQ;TYPE;SS_TYPE;LIBELLE_EQ;ACCES;VOIE;QUARTIER;COMMUNE;CODE_POST;CODE_INSEE;X_L93;Y_L93;X_WGS84;Y_WGS84
80;Culte;Cimetière;Cimetière ancien de Neuilly;1 r de Vimy;Vimy (rue de);Parc Nord;NANTERRE;92000;92050;643749.9921000004;6866454.662099998;2.232789964108523;48.89563977442338
75;Culte;Cimetière;Cimetière de La Garenne Colombes;82 r Jules Ferry;Ferry (rue Jules);Parc Nord;NANTERRE;92000;92050;643637.7084999979;6867164.375799999;2.2311643440824986;48.9020120105426
78;Culte;Cimetière;Cimetière de Puteaux;467 bd Aimé Césaire;Césaire (boulevard Aimé);Parc Nord;NANTERRE;92000;92050;643409.6748000011;6866179.004999999;2.228185321816673;48.893131110725626
74;Culte;Cimetière;Cimetière de la Maison Départementale;3 av du Cimetière;Cimetière (avenue du);Petit Nanterre;NANTERRE;92000;92050;642295.6143999994;6868076.587299999;2.2127340350376183;48.910096031562084
76;Culte;Cimetière;Cimetière du Centre;111 r de Courbevoie;Courbevoie (rue de);Centre;NANTERRE;92000;92050;641913.0437000021;6866296.701000001;2.20775856682316;48.89405619442684
77;Culte;Cimetière;Cimetière paysager du Mont-Valérien;102 r du Calvaire;Calvaire (rue du);Plateau - Mont-Valérien;NANTERRE;92000;92050;641916.9442000017;6864283.4717000015;2.2080871302583787;48.87595253077195
79;Culte;Cimetière;Crématorium;104 r du Calvaire;Calvaire (rue du);Plateau - Mont-Valérien;NANTERRE;92000;92050;641923.2806999981;6864160.804699998;2.2081902875494035;48.87485000646037
868;Culte;Cimetière;Funérarium;42 ch des Cendres;Cendres (chemin des);Plateau - Mont-Valérien;NANTERRE;92000;92050;641773.9477000013;6864429.602600001;2.206117595840933;48.877253713662384
81;Culte;Lieu de Culte Catholique;Cathédrale Sainte Geneviève;28 r de l'Eglise;Eglise (rue de l');Centre;NANTERRE;92000;92050;641050.7207999974;6865949.263999999;2.1960464938759423;48.89085350322715
87;Culte;Lieu de Culte Catholique;Chapelle Saint Joseph;9 r Edmond Dubuis;Dubuis (rue Edmond);Parc Sud;NANTERRE;92000;92050;642802.4941999987;6865933.067699999;2.219937879569598;48.89086586692096
82;Culte;Lieu de Culte Catholique;Eglise Saint Paul;55 bd Emile Zola;Zola (boulevard Emile);Université;NANTERRE;92000;92050;642297.8616999984;6866477.5918999985;2.212982118063865;48.89571745222303
